title,url,image,property_type,price,location,rooms,bathrooms,square_meters,floor
Piso en calle de Sámbara,https://www.pisos.com/comprar/piso-ciudad_lineal_quintana-61728914679_100500/,https://fotos.imghs.net/mm-wp/1005/146/1005_2788502712146_1_202602061857572159146.jpg,unknown,370.000 €,Quintana (Distrito Ciudad Lineal. Madrid Capital),3 habs.,3 baños,67 m²,3ª planta
Piso en Centro,https://www.pisos.com/comprar/piso-cortes_huertas28014-61713682486_100500/,https://fotos.imghs.net/mm-wp/1005/146/1005_2742519912146_1_202602251941540216541.jpg,unknown,495.000 €,Cortes-Huertas (Distrito Centro. Madrid Capital),3 habs.,1 baño,83 m²,4ª planta
Piso en calle del Amparo,https://www.pisos.com/comprar/piso-centro_embajadores_lavapies28012-63390946335_100500/,https://fotos.imghs.net/mm-wp/1005/146/1005_2882531012146_1_202604271239528483852.jpg,unknown,205.000 €,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),1 hab.,1 baño,36 m²,2ª planta
"Piso en calle de Lombía, 5",https://www.pisos.com/comprar/piso-goya28009-64171517859_528715/,https://fotos.imghs.net/mm-wp/528715/64171517859.528715/528715_64171517859_97faf057-4c7e-4583-b9a0-ee82f15fd46f.jpg,unknown,589.000 €,Goya (Distrito Barrio de Salamanca. Madrid Capital),2 habs.,1 baño,47 m²,3ª planta
Piso en calle de Coslada,https://www.pisos.com/comprar/piso-guindalera28028-63335257795_440000/,https://fotos.imghs.net/mm-wp/4400/63335257795.440000/4400_63335257795_47abfc21-a317-4e0f-906b-cf8fbbf58bcb.jpg,unknown,590.000 €,Guindalera (Distrito Barrio de Salamanca. Madrid Capital),2 habs.,1 baño,80 m²,4ª planta
Piso en calle de Azcona,https://www.pisos.com/comprar/piso-guindalera28028-63366549974_440000/,https://fotos.imghs.net/mm-wp/4400/63366549974.440000/4400_63366549974_21722b02-4eaa-42bd-9995-9326c8e86589.jpg,unknown,730.000 €,Guindalera (Distrito Barrio de Salamanca. Madrid Capital),2 habs.,1 baño,91 m²,1ª planta
Piso en Avenida de Pablo Neruda,https://www.pisos.com/comprar/piso-puente_de_vallecas_portazgo28038-63422345764_526710/,https://fotos.imghs.net/mm-wp/526710/63422345764.526710/526710_63422345764_dc878efd-5769-41b5-b41d-0aa479976806.jpg,unknown,362.000 €,Portazgo (Distrito Puente de Vallecas. Madrid Capital),3 habs.,2 baños,94 m²,4ª planta
Ático en calle del Trópico,https://www.pisos.com/comprar/atico-casco_historico_de_barajas-62535512620_100500/,https://fotos.imghs.net/mm-wp/1005/691/1005_4236691_10_202603181900069891291.jpg,unknown,515.000 €,Casco Histórico de Barajas (Distrito Barajas. Madrid Capital),2 habs.,2 baños,93 m²,ático
Piso en calle de Nuestra Señora de Araceli,https://www.pisos.com/comprar/piso-casco_historico_de_barajas-60838879425_100500/,https://fotos.imghs.net/mm-wp/1005/245/1005_4214245_6_2026011518010365235.jpg,unknown,369.000 €,Casco Histórico de Barajas (Distrito Barajas. Madrid Capital),3 habs.,1 baño,75 m²,bajo
"Piso en calle del Barco, 34",https://www.pisos.com/comprar/piso-universidad_malasana28004-64201603337_528715/,https://fotos.imghs.net/mm-wp/528715/64201603337.528715/528715_64201603337_1194f072-a4a6-4fd3-9f04-dad5f98e0722.jpg,unknown,530.000 €,Universidad-Malasaña (Distrito Centro. Madrid Capital),2 habs.,2 baños,64 m²,4ª planta
