title,url,property_type,price,location,rooms,bathrooms,square_meters,floor
Piso en calle de Tetuán,https://www.pisos.com/comprar/piso-sol_barrio28013-53433152926_524671/,flat,1.119.000 €,Sol (Distrito Centro. Madrid Capital),3,3,139,2
Piso en calle de Pelayo,https://www.pisos.com/comprar/piso-justicia_chueca28004-59179305350_524671/,flat,1.080.000 €,Justicia-Chueca (Distrito Centro. Madrid Capital),3,3,128,1
Piso en calle del Alcalde Sáinz de Baranda,https://www.pisos.com/comprar/piso-ibiza28009-61691487743_524671/,flat,679.000 €,Ibiza (Distrito Retiro. Madrid Capital),2,1,50,2
"Piso en calle de Lombía, 5",https://www.pisos.com/comprar/piso-goya28009-64171517859_528715/,flat,589.000 €,Goya (Distrito Barrio de Salamanca. Madrid Capital),2,1,47,3
Piso en calle de Coslada,https://www.pisos.com/comprar/piso-guindalera28028-63335257795_440000/,flat,590.000 €,Guindalera (Distrito Barrio de Salamanca. Madrid Capital),2,1,80,4
Piso en calle de Azcona,https://www.pisos.com/comprar/piso-guindalera28028-63366549974_440000/,flat,730.000 €,Guindalera (Distrito Barrio de Salamanca. Madrid Capital),2,1,91,1
Piso en Avenida de Pablo Neruda,https://www.pisos.com/comprar/piso-puente_de_vallecas_portazgo28038-63422345764_526710/,flat,362.000 €,Portazgo (Distrito Puente de Vallecas. Madrid Capital),3,2,94,4
Ático en calle del Trópico,https://www.pisos.com/comprar/atico-casco_historico_de_barajas-62535512620_100500/,penthouse,515.000 €,Casco Histórico de Barajas (Distrito Barajas. Madrid Capital),2,2,93,top floor
Piso en calle de Nuestra Señora de Araceli,https://www.pisos.com/comprar/piso-casco_historico_de_barajas-60838879425_100500/,flat,369.000 €,Casco Histórico de Barajas (Distrito Barajas. Madrid Capital),3,1,75,unknown
Piso en Alameda de Osuna,https://www.pisos.com/comprar/piso-alameda_de_osuna_barrio-60931755440_100500/,flat,699.000 €,Alameda de Osuna (Distrito Barajas. Madrid Capital),3,2,130,3
Piso en Avenida de Santa Eugenia,https://www.pisos.com/comprar/piso-villa_de_vallecas_santa_eugenia-62592568640_100500/,flat,390.000 €,Santa Eugenia (Distrito Villa de Vallecas. Madrid Capital),3,2,125,1
Piso en Avenida de la Institución Libre de Enseñanza,https://www.pisos.com/comprar/piso-san_blas_amposta-63357380863_994867/,flat,399.000 €,Amposta (Distrito San Blas. Madrid Capital),4,2,104,1
Piso en calle de Alfredo Marquerie,https://www.pisos.com/comprar/piso-fuencarral_el_pardo_la_paz28034-62526923934_100500/,flat,879.900 €,La Paz (Distrito Fuencarral-El Pardo. Madrid Capital),3,2,160,4
Piso en calle de la Lagartera,https://www.pisos.com/comprar/piso-puente_de_vallecas_entrevias-48399598955_100500/,flat,380.000 €,Entrevías (Distrito Puente de Vallecas. Madrid Capital),2,1,99,3
"Piso en calle de Relatores, 10",https://www.pisos.com/comprar/piso-centro_embajadores_lavapies28012-63388336792_515177/,flat,389.000 €,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2,2,60,unknown
"Piso en calle del Divino Redentor, 25",https://www.pisos.com/comprar/piso-valdeacederas28029-61754163886_520200/,flat,487.000 €,Valdeacederas (Distrito Tetuán. Madrid Capital),2,2,68,1
Piso en calle de Alonso Cano,https://www.pisos.com/comprar/piso-rio_rosas28003-64171191631_528990/,flat,1.500.000 €,Río Rosas (Distrito Chamberí. Madrid Capital),2,3,120,2
Piso en calle del General Pardiñas,https://www.pisos.com/comprar/piso-goya28001-62562598810_528990/,flat,1.170.000 €,Goya (Distrito Barrio de Salamanca. Madrid Capital),2,2,83,6
Ático en calle de Caramuel,https://www.pisos.com/comprar/atico-latina_carmenes28047-62564453256_518874/,penthouse,520.000 €,Cármenes (Distrito Latina. Madrid Capital),1,1,122,top floor
Piso en calle de Goya,https://www.pisos.com/comprar/piso-recoletos28001-49190189683_524671/,flat,1.269.000 €,Recoletos (Distrito Barrio de Salamanca. Madrid Capital),2,2,120,1
Piso en calle de Maqueda,https://www.pisos.com/comprar/piso-latina_aluche28024-63375110020_518874/,flat,260.000 €,Aluche (Distrito Latina. Madrid Capital),2,1,85,unknown
"Piso en calle de la Princesa, 27",https://www.pisos.com/comprar/piso-moncloa_aravaca_arguelles28008-60926082817_100500/,flat,850.000 €,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),1,1,75,18
Piso en calle de Camarena,https://www.pisos.com/comprar/piso-latina_aluche28047-62523325093_518874/,flat,349.000 €,Aluche (Distrito Latina. Madrid Capital),3,1,80,8
Piso en calle Orense,https://www.pisos.com/comprar/piso-castillejos-61680246526_101000/,flat,895.000 €,Castillejos (Distrito Tetuán. Madrid Capital),4,2,129,4
Ático en Avenida de la Reina Victoria,https://www.pisos.com/comprar/atico-chamberi_vallehermoso28003-60922835048_100500/,penthouse,625.000 €,Vallehermoso (Distrito Chamberí. Madrid Capital),3,1,85,top floor
"Piso en calle Magín Calvo, 2",https://www.pisos.com/comprar/piso-puerta_del_angel-64240811877_100500/,flat,534.000 €,Puerta del Ángel (Distrito Latina. Madrid Capital),2,2,97,1
